iter	Accuracy	Logloss
0	0.5931251325	0.6911045213
1	0.5933371017	0.6889562732
2	0.5947502296	0.6872334935
3	0.5946795732	0.6853750035
4	0.5946795732	0.6837106444
5	0.5950328552	0.6823142289
6	0.5952801526	0.6809910756
7	0.5949268706	0.6797631717
8	0.5947502296	0.6785833652
9	0.594820886	0.6775707815
10	0.5950328552	0.6766435315
11	0.5949621988	0.6760609393
12	0.5949621988	0.6752505214
13	0.5948915424	0.6745327252
14	0.595174168	0.6738966351
15	0.5952448244	0.6733923164
16	0.5954214654	0.6730391645
17	0.595704091	0.6725268738
18	0.5956687628	0.6721479898
19	0.5956334346	0.6717932285
20	0.5956687628	0.6713321442
21	0.5955981064	0.6709636029
22	0.5955981064	0.6705629297
23	0.5958100756	0.6702682496
24	0.5957747474	0.6699382758
25	0.5957394192	0.6696554789
26	0.5959160602	0.6693806596
27	0.5959513884	0.669259177
28	0.595880732	0.6690266819
29	0.5957394192	0.6688823096
30	0.5957747474	0.6686474446
31	0.5958100756	0.6684266407
32	0.5957747474	0.668244494
33	0.5957394192	0.6679951461
34	0.5958454038	0.6678021689
35	0.5961280294	0.6676246887
36	0.5957747474	0.6674319094
37	0.5960927012	0.6672954324
38	0.5960220448	0.6672755362
39	0.5960220448	0.6671210747
40	0.5961633576	0.6669478558
41	0.5963046704	0.6667635913
42	0.5961633576	0.6666733881
43	0.5964813114	0.6665117541
44	0.5964459832	0.6663334301
45	0.5966226242	0.666230965
46	0.5966579524	0.666137468
47	0.5962693422	0.6660452443
48	0.5963399986	0.6659095748
49	0.5965519678	0.6658230115
50	0.5963753268	0.665727812
51	0.5963753268	0.665655294
52	0.5966226242	0.6655241792
53	0.5966932806	0.6654501375
54	0.5966932806	0.6653897763
55	0.5964459832	0.6653106354
56	0.5965166396	0.6652209227
57	0.5966226242	0.6650819963
58	0.5966226242	0.6649534732
59	0.5965519678	0.664883414
60	0.5965519678	0.6648281407
61	0.596587296	0.6647240824
62	0.596587296	0.6647201957
63	0.5966226242	0.6646411054
64	0.5967286088	0.6645940295
65	0.5967286088	0.6645190166
66	0.5966579524	0.66442494
67	0.596587296	0.6643052308
68	0.5967286088	0.6642535809
69	0.5966579524	0.6641778377
70	0.5968345934	0.6640765104
71	0.5968345934	0.6640738856
72	0.59729386	0.6639967109
73	0.5973645164	0.6638863623
74	0.597117219	0.6638547567
75	0.5969052498	0.6637691947
76	0.5971525472	0.6637010095
77	0.5971878754	0.6636093671
78	0.5971878754	0.663609358
79	0.5971525472	0.6635776139
80	0.5972232036	0.6635360578
81	0.5973645164	0.6634819738
82	0.5973998446	0.6634225892
83	0.5973645164	0.6633835976
84	0.5973645164	0.6633835146
85	0.59729386	0.6633434819
86	0.59729386	0.663329077
87	0.5972585318	0.6632753901
88	0.5975764856	0.6632380022
89	0.5976118137	0.6631657984
90	0.5976824701	0.6631182731
91	0.5976824701	0.6631124704
92	0.5976824701	0.6631124656
93	0.5975764856	0.6630523837
94	0.5977531265	0.6629762925
95	0.5975058292	0.6629216806
96	0.5975058292	0.6628843405
97	0.5975764856	0.6628594263
98	0.5976118137	0.6628527792
99	0.5977177983	0.6628327992
100	0.5977884547	0.6627780623
101	0.5976824701	0.6627409166
102	0.5976824701	0.6626846201
103	0.5976824701	0.6626385023
104	0.5975411574	0.6626283043
105	0.5978591111	0.6626144594
106	0.5978944393	0.6625933741
107	0.5978591111	0.6625442271
108	0.5980357521	0.6624946412
109	0.5980710803	0.6624019468
110	0.5980004239	0.6623674959
111	0.5979650957	0.6623458535
112	0.5980004239	0.6623183743
113	0.5980710803	0.6622941838
114	0.5980357521	0.6622306661
115	0.5978237829	0.662171307
116	0.5976824701	0.662165545
117	0.5978591111	0.6620787119
118	0.5978237829	0.6620636951
119	0.5977884547	0.6620243784
120	0.5978237829	0.6620002169
121	0.5978591111	0.6619841592
122	0.5978591111	0.6619827814
123	0.5978591111	0.6619429128
124	0.5981064085	0.6618999604
125	0.5981064085	0.661899943
126	0.5980710803	0.6618873306
127	0.5981064085	0.661875081
128	0.5981064085	0.6618750802
129	0.5983183777	0.6618303032
130	0.5982123931	0.6617859694
131	0.5982477213	0.6617778304
132	0.5982477213	0.6617778299
133	0.5982477213	0.6617707703
134	0.5983183777	0.6617148353
135	0.5983890341	0.6616866459
136	0.5984243623	0.6616789394
137	0.5983537059	0.6616669375
138	0.5983890341	0.6616448611
139	0.5983890341	0.6616102196
140	0.5984950187	0.6615819663
141	0.5982830495	0.6614803297
142	0.5982830495	0.661451551
143	0.5984243623	0.6613932925
144	0.5985303469	0.6613128275
145	0.5984596905	0.661279018
146	0.5984950187	0.6612294863
147	0.5986716597	0.6612071961
148	0.5987069879	0.6611932114
149	0.5987069879	0.6611615068
150	0.5987423161	0.6611451899
151	0.5987069879	0.6611312232
152	0.5987776443	0.6611179079
153	0.5987776443	0.6611029055
154	0.5986363315	0.6610772116
155	0.5986363315	0.6610549363
156	0.5986010033	0.6610246565
157	0.5987069879	0.6609590199
158	0.5986363315	0.660930916
159	0.5987423161	0.6609150363
160	0.5989189571	0.6608666517
161	0.5988836289	0.6608372011
162	0.5989189571	0.6608078568
163	0.5989542853	0.660803986
164	0.5989542853	0.6607988621
165	0.5989189571	0.6607554356
166	0.5991309263	0.6607016871
167	0.5990955981	0.6606688874
168	0.5992722391	0.6606352206
169	0.5995195365	0.6605182917
170	0.5994488801	0.660513346
171	0.5995901929	0.6604809603
172	0.5996961775	0.6604298229
173	0.5996255211	0.6603981289
174	0.5996961775	0.6603615136
175	0.5996961775	0.6603599072
176	0.5997315057	0.6603367182
177	0.5994842083	0.6602459506
178	0.5994842083	0.6602415081
179	0.5994488801	0.6602252855
180	0.5994842083	0.6602024255
181	0.5994842083	0.66020152
182	0.5995195365	0.6601921067
183	0.5995548647	0.6601457768
184	0.5994488801	0.660100401
185	0.5995195365	0.6600914004
186	0.5995195365	0.6600914001
187	0.5995195365	0.6600762174
188	0.5995548647	0.6600599586
189	0.5996608493	0.6600308559
190	0.5995548647	0.6600204215
191	0.5995195365	0.6599893572
192	0.5995195365	0.659972642
193	0.5995901929	0.6599294977
194	0.5996255211	0.6598585681
195	0.5999434749	0.6598096868
196	0.5998728185	0.6597707965
197	0.5999081467	0.6597598811
198	0.5996608493	0.6597196411
199	0.5997668339	0.6596632999
200	0.5998021621	0.6596133639
201	0.5998728185	0.6595830611
202	0.6000141313	0.6595791954
203	0.5999081467	0.6595652458
204	0.5998728185	0.6595256681
205	0.5999081467	0.6594900451
206	0.5998374903	0.6594488488
207	0.6000494595	0.6594088196
208	0.6000141313	0.6593845971
209	0.6001201159	0.6593216197
210	0.6002261005	0.6592990531
211	0.6001907723	0.6592493243
212	0.6000847877	0.6591853266
213	0.6001201159	0.6591488887
214	0.6001554441	0.6591147408
215	0.6002261005	0.6590656747
216	0.6004027415	0.6589966418
217	0.6005440543	0.6589295971
218	0.6004733979	0.6588701033
219	0.6005440543	0.6588132982
220	0.6007206953	0.6587755719
221	0.6007560235	0.6587235879
222	0.6008266799	0.6586428243
223	0.6009326645	0.6586067055
224	0.6008973363	0.6585595569
225	0.6008973363	0.6585339983
226	0.6013212746	0.6584777068
227	0.6010739772	0.6584631337
228	0.6012506182	0.6584205496
229	0.6011799618	0.6583788953
230	0.6013212746	0.6583189066
231	0.6012506182	0.6582926624
232	0.6011446336	0.6582308441
233	0.6011446336	0.6582006119
234	0.6012506182	0.6581261744
235	0.6012506182	0.6581257215
236	0.601391931	0.6580503275
237	0.6012506182	0.6579845987
238	0.6012859464	0.6579249785
239	0.6013212746	0.657915217
240	0.6014272592	0.6578454022
241	0.6014272592	0.6577665064
242	0.6014979156	0.6577136844
243	0.6014979156	0.6576718823
244	0.6016392284	0.6576058374
245	0.601745213	0.6575429056
246	0.601745213	0.6574909332
247	0.601745213	0.6574326116
248	0.6018865258	0.6574248593
249	0.601745213	0.6573697741
250	0.601745213	0.6573145217
251	0.6016392284	0.6572409121
252	0.601921854	0.6571765947
253	0.601921854	0.6571574295
254	0.602275136	0.6571266126
255	0.602275136	0.6570710667
256	0.6023457924	0.6570079033
257	0.6023811206	0.6569836805
258	0.6023457924	0.6569396707
259	0.6024164488	0.6569000517
260	0.6025224334	0.6568529663
261	0.6029110436	0.6568077028
262	0.6028757154	0.6567396881
263	0.6028757154	0.6566535195
264	0.6027697308	0.6566186818
265	0.6029463718	0.6565953394
266	0.6029110436	0.6565371812
267	0.6030170282	0.6564994673
268	0.6031230128	0.6564497551
269	0.6030876846	0.6564226815
270	0.6031230128	0.656361957
271	0.6029463718	0.6563295863
272	0.6028403872	0.6562596102
273	0.6029817	0.6562237484
274	0.6030523564	0.6562065609
275	0.6030876846	0.6561599021
276	0.6031230128	0.6561411574
277	0.603334982	0.6561006031
278	0.6034762948	0.6560612411
279	0.6033703102	0.6560506831
280	0.6034056384	0.656028421
281	0.6034762948	0.6560049791
282	0.6035469512	0.6559542587
283	0.6035469512	0.6558910573
284	0.6037235922	0.6558293685
285	0.6039708896	0.655799202
286	0.6039708896	0.6557841038
287	0.6039708896	0.6557120089
288	0.6040062178	0.6556727568
289	0.6040062178	0.6556520623
290	0.6039708896	0.6556203551
291	0.6039708896	0.6555451333
292	0.6039002332	0.6554909869
293	0.6039355614	0.6554632278
294	0.603864905	0.6554325601
295	0.6042888434	0.655342569
296	0.6042888434	0.6553018183
297	0.6045008125	0.6552342965
298	0.6046067971	0.6551746786
299	0.6045008125	0.6551449616
300	0.6045361407	0.6551062814
301	0.6043594998	0.6550833301
302	0.6045008125	0.6550584751
303	0.6044301562	0.6550253918
304	0.6043241716	0.6549926292
305	0.6044301562	0.6549432181
306	0.6044301562	0.6549324476
307	0.6045361407	0.6548765427
308	0.6044654843	0.6548508178
309	0.6044301562	0.6547850984
310	0.6043241716	0.6547616491
311	0.604394828	0.6547138271
312	0.6045008125	0.654671113
313	0.6044654843	0.6546416007
314	0.6045008125	0.6546046947
