iter	Passed	Remaining
0	63	31672
1	70	17499
2	76	12693
3	83	10310
4	88	8737
5	93	7706
6	99	7022
7	106	6543
8	113	6201
9	120	5882
10	126	5620
11	129	5263
12	135	5060
13	141	4903
14	147	4771
15	151	4583
16	154	4389
17	159	4279
18	166	4218
19	171	4107
20	176	4032
21	181	3953
22	187	3891
23	192	3823
24	200	3803
25	206	3766
26	213	3737
27	217	3667
28	223	3632
29	227	3557
30	232	3513
31	237	3479
32	243	3448
33	250	3428
34	255	3398
35	262	3381
36	268	3363
37	275	3343
38	277	3280
39	283	3256
40	288	3232
41	294	3213
42	299	3180
43	306	3172
44	312	3156
45	318	3142
46	323	3121
47	329	3104
48	335	3084
49	340	3066
50	346	3052
51	352	3034
52	358	3021
53	365	3019
54	369	2992
55	375	2976
56	381	2964
57	387	2951
58	393	2940
59	399	2930
60	406	2924
61	413	2918
62	416	2892
63	422	2880
64	428	2864
65	433	2850
66	439	2839
67	445	2831
68	451	2820
69	457	2810
70	464	2808
71	468	2785
72	474	2777
73	480	2767
74	486	2754
75	492	2745
76	497	2735
77	504	2728
78	506	2701
79	513	2696
80	519	2686
81	524	2674
82	529	2661
83	535	2654
84	538	2629
85	544	2620
86	548	2602
87	553	2592
88	559	2585
89	566	2582
90	572	2574
91	576	2555
92	579	2537
93	585	2527
94	591	2520
95	596	2510
96	602	2503
97	608	2494
98	611	2477
99	615	2462
100	621	2453
101	626	2444
102	631	2435
103	637	2427
104	642	2418
105	648	2410
106	653	2399
107	660	2395
108	665	2385
109	670	2378
110	675	2366
111	680	2356
112	685	2348
113	691	2340
114	697	2334
115	703	2330
116	709	2320
117	714	2312
118	719	2303
119	725	2296
120	730	2287
121	735	2279
122	739	2265
123	745	2260
124	751	2254
125	754	2240
126	760	2233
127	765	2225
128	768	2211
129	773	2202
130	778	2193
131	783	2185
132	786	2169
133	791	2161
134	796	2154
135	802	2148
136	807	2140
137	812	2131
138	817	2123
139	823	2118
140	829	2110
141	835	2105
142	840	2099
143	846	2093
144	853	2088
145	859	2083
146	864	2075
147	869	2068
148	874	2060
149	879	2052
150	885	2046
151	889	2036
152	894	2028
153	899	2020
154	905	2014
155	911	2009
156	917	2004
157	923	1998
158	928	1991
159	934	1985
160	939	1978
161	945	1972
162	951	1967
163	956	1959
164	961	1952
165	967	1946
166	973	1940
167	978	1933
168	984	1927
169	990	1921
170	994	1912
171	999	1906
172	1006	1902
173	1012	1896
174	1018	1891
175	1022	1882
176	1027	1875
177	1033	1869
178	1037	1860
179	1043	1855
180	1050	1850
181	1054	1842
182	1059	1835
183	1065	1829
184	1070	1823
185	1075	1815
186	1077	1803
187	1083	1798
188	1089	1793
189	1096	1788
190	1102	1784
191	1108	1778
192	1114	1773
193	1121	1768
194	1127	1762
195	1134	1759
196	1140	1754
197	1145	1747
198	1152	1742
199	1157	1735
200	1163	1730
201	1169	1725
202	1174	1718
203	1178	1709
204	1184	1704
205	1190	1698
206	1199	1697
207	1207	1694
208	1214	1691
209	1224	1691
210	1233	1689
211	1243	1689
212	1251	1686
213	1257	1680
214	1262	1673
215	1269	1668
216	1275	1663
217	1282	1659
218	1289	1654
219	1295	1648
220	1301	1643
221	1307	1636
222	1313	1631
223	1318	1624
224	1324	1618
225	1331	1613
226	1337	1608
227	1342	1601
228	1349	1596
229	1355	1590
230	1361	1585
231	1368	1580
232	1373	1574
233	1380	1569
234	1386	1563
235	1390	1555
236	1399	1552
237	1405	1547
238	1413	1543
239	1418	1536
240	1424	1530
241	1431	1525
242	1438	1521
243	1444	1515
244	1451	1510
245	1456	1503
246	1463	1499
247	1469	1493
248	1475	1487
249	1483	1483
250	1488	1477
251	1494	1470
252	1501	1465
253	1506	1459
254	1513	1453
255	1519	1448
256	1525	1442
257	1530	1436
258	1537	1430
259	1543	1424
260	1550	1419
261	1556	1413
262	1562	1407
263	1567	1401
264	1573	1395
265	1579	1389
266	1585	1383
267	1591	1377
268	1597	1372
269	1603	1365
270	1609	1360
271	1616	1354
272	1622	1348
273	1627	1342
274	1633	1336
275	1638	1329
276	1644	1323
277	1650	1317
278	1655	1311
279	1661	1305
280	1667	1299
281	1672	1293
282	1678	1287
283	1685	1281
284	1690	1275
285	1697	1269
286	1703	1264
287	1709	1258
288	1715	1252
289	1721	1246
290	1727	1240
291	1733	1234
292	1739	1228
293	1744	1222
294	1750	1216
295	1756	1210
296	1761	1204
297	1767	1197
298	1772	1191
299	1778	1185
300	1784	1179
301	1790	1174
302	1797	1168
303	1803	1163
304	1810	1157
305	1816	1151
306	1822	1145
307	1828	1139
308	1833	1133
309	1840	1128
310	1846	1122
311	1852	1116
312	1858	1110
313	1864	1104
314	1870	1098
315	1876	1092
316	1882	1086
317	1888	1080
318	1893	1074
319	1900	1069
320	1906	1062
321	1913	1057
322	1919	1051
323	1925	1045
324	1931	1040
325	1937	1034
326	1944	1028
327	1949	1022
328	1955	1016
329	1963	1011
330	1969	1005
331	1975	999
332	1981	993
333	1987	988
334	1995	982
335	2000	976
336	2007	970
337	2014	965
338	2020	959
339	2026	953
340	2032	947
341	2038	941
342	2046	936
343	2051	930
344	2057	924
345	2063	918
346	2070	912
347	2077	907
348	2083	901
349	2088	894
350	2094	889
351	2100	883
352	2105	876
353	2111	870
354	2116	864
355	2121	858
356	2127	852
357	2133	846
358	2139	840
359	2145	834
360	2151	828
361	2157	822
362	2163	816
363	2169	810
364	2175	804
365	2182	799
366	2189	793
367	2195	787
368	2201	781
369	2207	775
370	2214	769
371	2220	763
372	2227	758
373	2233	752
374	2239	746
375	2245	740
376	2251	734
377	2257	728
378	2263	722
379	2269	716
380	2276	710
381	2281	704
382	2288	698
383	2294	693
384	2300	687
385	2305	680
386	2312	675
387	2317	669
388	2325	663
389	2331	657
390	2337	651
391	2344	645
392	2349	639
393	2355	633
394	2363	628
395	2369	622
396	2376	616
397	2381	610
398	2387	604
399	2393	598
400	2398	592
401	2405	586
402	2412	580
403	2417	574
404	2424	568
405	2430	562
406	2436	556
407	2442	550
408	2448	544
409	2453	538
410	2459	532
411	2465	526
412	2471	520
413	2478	514
414	2484	508
415	2491	503
416	2497	497
417	2503	491
418	2509	485
419	2514	479
420	2521	473
421	2527	467
422	2535	461
423	2541	455
424	2547	449
425	2553	443
426	2559	437
427	2565	431
428	2570	425
429	2576	419
430	2583	413
431	2589	407
432	2594	401
433	2600	395
434	2607	389
435	2612	383
436	2619	377
437	2625	371
438	2631	365
439	2638	359
440	2645	353
441	2651	347
442	2657	341
443	2662	335
444	2668	329
445	2674	323
446	2680	317
447	2687	311
448	2693	305
449	2698	299
450	2705	293
451	2711	287
452	2716	281
453	2723	275
454	2729	269
455	2736	264
456	2741	257
457	2747	251
458	2754	246
459	2759	239
460	2766	234
461	2772	228
462	2777	221
463	2784	216
464	2790	210
465	2796	204
466	2803	198
467	2809	192
468	2814	186
469	2820	180
470	2826	174
471	2831	167
472	2838	162
473	2845	156
474	2851	150
475	2857	144
476	2863	138
477	2869	132
478	2874	126
479	2881	120
480	2888	114
481	2893	108
482	2899	102
483	2906	96
484	2911	90
485	2917	84
486	2923	78
487	2929	72
488	2935	66
489	2940	60
490	2947	54
491	2953	48
492	2959	42
493	2965	36
494	2972	30
495	2978	24
496	2983	18
497	2989	12
498	2994	6
499	3000	0
