player_id,full_name,position,year,ovr
00-0038389,Israel Abanikanda,RB,2023,69
00-0031021,Jared Abbrederis,WR,2016,68
00-0031021,Jared Abbrederis,WR,2017,69
00-0032860,Mehdi Abdesmad,DL,2016,60
00-0032860,Mehdi Abdesmad,DL,2017,60
00-0028564,Isa Abdul-Quddus,DB,2016,76
00-0032104,Ameer Abdullah,RB,2016,78
00-0032104,Ameer Abdullah,RB,2017,78
00-0032104,Ameer Abdullah,RB,2018,82
00-0032104,Ameer Abdullah,RB,2019,74
00-0032104,Ameer Abdullah,RB,2020,71
00-0032104,Ameer Abdullah,RB,2021,70
00-0032104,Ameer Abdullah,RB,2022,70
00-0032104,Ameer Abdullah,RB,2023,73
00-0025940,Husain Abdullah,DB,,
00-0038580,Yasir Abdullah,LB,2023,68
00-0035098,Micah Abernathy,DB,2023,62
00-0030083,Oday Aboushi,OL,2016,68
00-0030083,Oday Aboushi,OL,2017,74
00-0030083,Oday Aboushi,OL,2019,63
00-0030083,Oday Aboushi,OL,2020,63
00-0030083,Oday Aboushi,OL,2021,65
00-0039403,Micah Abraham,DB,,
00-0035693,Johnathan Abram,DB,2019,69
00-0035693,Johnathan Abram,DB,2020,73
00-0035693,Johnathan Abram,DB,2021,78
00-0035693,Johnathan Abram,DB,2022,78
00-0035693,Johnathan Abram,DB,2023,71
00-0035774,Delrick Abrams,DB,,
00-0039371,Kris Abrams-Draine,DB,,
00-0039040,De'Von Achane,RB,2023,76
00-0028041,Sam Acho,LB,2016,75
00-0028041,Sam Acho,LB,2017,74
00-0028041,Sam Acho,LB,2018,73
00-0031186,Kenneth Acker,DB,2016,75
00-0031186,Kenneth Acker,DB,2017,67
00-0035801,DeMarkus Acy,DB,,
00-0032637,Andrew Adams,DB,2017,78
00-0032637,Andrew Adams,DB,2018,70
00-0032637,Andrew Adams,DB,2019,69
00-0032637,Andrew Adams,DB,2020,71
00-0032637,Andrew Adams,DB,2021,71
00-0033521,Keion Adams,LB,2017,64
00-0033521,Keion Adams,LB,2018,67
00-0033521,Keion Adams,LB,2019,63
00-0031381,Davante Adams,WR,2016,75
00-0031381,Davante Adams,WR,2017,84
00-0031381,Davante Adams,WR,2018,88
00-0031381,Davante Adams,WR,2019,92
00-0031381,Davante Adams,WR,2020,94
00-0031381,Davante Adams,WR,2021,99
00-0031381,Davante Adams,WR,2022,99
00-0031381,Davante Adams,WR,2023,97
00-0039808,Isaiah Adams,OL,,
00-0033872,Jamal Adams,LB,2017,81
00-0033872,Jamal Adams,LB,2018,86
00-0033872,Jamal Adams,LB,2019,90
00-0033872,Jamal Adams,LB,2020,92
00-0033872,Jamal Adams,LB,2021,90
00-0033872,Jamal Adams,LB,2022,90
00-0033872,Jamal Adams,LB,2023,88
00-0028998,Jeff Adams,OL,2016,73
00-0028998,Jeff Adams,OL,2017,72
00-0032429,Jerell Adams,TE,2016,66
00-0032429,Jerell Adams,TE,2017,66
00-0032429,Jerell Adams,TE,2018,67
00-0032429,Jerell Adams,TE,2019,66
00-0034457,Josh Adams,RB,2018,67
00-0034457,Josh Adams,RB,2019,72
00-0034457,Josh Adams,RB,2020,70
00-0034424,Matthew Adams,LB,2018,64
00-0034424,Matthew Adams,LB,2019,67
00-0034424,Matthew Adams,LB,2020,67
00-0034424,Matthew Adams,LB,2021,66
00-0034424,Matthew Adams,LB,2022,68
00-0034424,Matthew Adams,LB,2023,70
00-0022247,Mike Adams,DB,2016,78
00-0022247,Mike Adams,DB,2017,81
00-0022247,Mike Adams,DB,2018,79
00-0029202,Mike Adams,OL,,
00-0033929,Montravius Adams,DL,2017,72
00-0033929,Montravius Adams,DL,2018,71
00-0033929,Montravius Adams,DL,2019,66
00-0033929,Montravius Adams,DL,2020,65
00-0033929,Montravius Adams,DL,2021,69
00-0033929,Montravius Adams,DL,2022,69
00-0033929,Montravius Adams,DL,2023,71
00-0035946,Myles Adams,DL,2022,59
00-0035946,Myles Adams,DL,2023,63
00-0035007,Paul Adams,OL,2019,53
00-0035007,Paul Adams,OL,2020,53
00-0033957,Rodney Adams,WR,2017,68
00-0034849,Tony Adams,OL,,
00-0037155,Tony Adams,DB,2023,61
00-0036185,Trey Adams,OL,,
00-0032094,Tyrell Adams,LB,2017,62
00-0032094,Tyrell Adams,LB,2018,69
00-0032094,Tyrell Adams,LB,2019,59
00-0032094,Tyrell Adams,LB,2020,59
00-0032094,Tyrell Adams,LB,2022,67
00-0030312,Jahleel Addae,DB,2016,74
00-0030312,Jahleel Addae,DB,2017,83
00-0030312,Jahleel Addae,DB,2018,82
00-0030312,Jahleel Addae,DB,2019,76
00-0030312,Jahleel Addae,DB,2021,72
00-0035677,Nasir Adderley,DB,2019,71
00-0035677,Nasir Adderley,DB,2020,71
00-0035677,Nasir Adderley,DB,2021,75
00-0035677,Nasir Adderley,DB,2022,75
00-0032482,Bralon Addison,WR,2016,60
00-0038994,Jordan Addison,WR,2023,76
00-0028339,Mario Addison,DL,2016,76
00-0028339,Mario Addison,DL,2017,83
00-0028339,Mario Addison,DL,2018,80
00-0028339,Mario Addison,DL,2019,76
00-0028339,Mario Addison,DL,2020,76
00-0028339,Mario Addison,DL,2021,75
00-0028339,Mario Addison,DL,2022,73
00-0039031,Adetomiwa Adebawore,DL,2023,66
00-0036937,Paulson Adebo,DB,2021,74
00-0036937,Paulson Adebo,DB,2022,74
00-0036937,Paulson Adebo,DB,2023,73
00-0033366,Quincy Adeboyejo,WR,2017,62
00-0033366,Quincy Adeboyejo,WR,2018,63
00-0033366,Quincy Adeboyejo,WR,2019,62
00-0033366,Quincy Adeboyejo,WR,2020,62
00-0036310,Hakeem Adeniji,OL,2020,60
00-0036310,Hakeem Adeniji,OL,2021,62
00-0036310,Hakeem Adeniji,OL,2022,63
00-0036310,Hakeem Adeniji,OL,2023,63
00-0034204,Ola Adeniyi,LB,2019,62
00-0034204,Ola Adeniyi,LB,2020,63
00-0034204,Ola Adeniyi,LB,2021,68
00-0034204,Ola Adeniyi,LB,2022,69
00-0034204,Olasunkanmi Adeniyi,LB,2019,62
