"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio"
2015,"ARI",731,460,5359,2017,1.58913043478261
2015,"ATL",713,413,4602,1606,1.72639225181598
2015,"BAL",740,385,4449,1478,1.92207792207792
2015,"BUF",598,460,3600,2432,1.3
2015,"CAR",698,582,4634,2696,1.19931271477663
2015,"CHI",602,464,3843,1854,1.29741379310345
2015,"CIN",660,448,4316,1896,1.47321428571429
2015,"CLE",754,343,4156,1529,2.19825072886297
2015,"DAL",620,392,3677,1890,1.58163265306122
2015,"DEN",798,489,4755,2016,1.6319018404908
2015,"DET",735,331,4463,1335,2.22054380664653
2015,"GB",831,442,4296,2126,1.88009049773756
2015,"HOU",742,481,4215,1845,1.54261954261954
2015,"IND",728,351,3928,1438,2.07407407407407
2015,"JAX",721,329,4428,1473,2.19148936170213
2015,"KC",698,434,3929,2320,1.60829493087558
2015,"LA",526,420,2931,1956,1.25238095238095
2015,"LAC",770,390,4855,1358,1.97435897435897
2015,"LV",685,353,4129,1457,1.94050991501416
2015,"MIA",674,346,4231,1496,1.94797687861272
2015,"MIN",584,481,3392,2269,1.21413721413721
2015,"NE",827,396,5424,1486,2.08838383838384
2015,"NO",751,387,5205,1491,1.9405684754522
2015,"NYG",704,397,4500,1609,1.77329974811083
2015,"NYJ",684,410,4170,1868,1.66829268292683
2015,"PHI",714,429,4341,1743,1.66433566433566
2015,"PIT",780,408,5401,1976,1.91176470588235
2015,"SEA",701,473,4569,2439,1.48202959830867
2015,"SF",652,344,3646,1544,1.8953488372093
2015,"TB",647,428,4042,2162,1.51168224299065
2015,"TEN",659,362,3893,1485,1.82044198895028
2015,"WAS",679,441,4623,1650,1.53968253968254
2016,"ARI",742,400,4425,1732,1.855
2016,"ATL",736,479,5974,2232,1.53653444676409
2016,"BAL",760,358,4343,1463,2.12290502793296
2016,"BUF",609,448,3250,2630,1.359375
2016,"CAR",652,447,3962,1814,1.4586129753915
2016,"CHI",628,375,4139,1735,1.67466666666667
2016,"CIN",657,419,4206,1769,1.56801909307876
2016,"CLE",695,330,3693,1712,2.10606060606061
2016,"DAL",612,496,4101,2534,1.23387096774194
2016,"DEN",674,387,3914,1484,1.74160206718346
2016,"DET",738,339,4532,1359,2.17699115044248
2016,"GB",889,381,5449,1962,2.33333333333333
2016,"HOU",748,497,3783,2087,1.50503018108652
2016,"IND",716,358,4491,1628,2
2016,"JAX",742,366,3925,1631,2.02732240437158
2016,"KC",667,391,4086,1809,1.70588235294118
2016,"LA",634,362,3313,1252,1.75138121546961
2016,"LAC",658,402,4386,1510,1.63681592039801
2016,"LV",735,435,4298,1986,1.68965517241379
2016,"MIA",587,420,4005,1876,1.39761904761905
2016,"MIN",665,372,4119,1205,1.78763440860215
2016,"NE",801,531,5593,2131,1.50847457627119
2016,"NO",732,401,5258,1742,1.82543640897756
2016,"NYG",705,402,4326,1482,1.75373134328358
2016,"NYJ",641,396,3645,1794,1.61868686868687
2016,"PHI",697,423,3798,1813,1.64775413711584
2016,"PIT",765,487,5112,2164,1.57084188911704
2016,"SEA",753,414,4871,1869,1.81884057971015
2016,"SF",615,412,3166,2019,1.49271844660194
2016,"TB",698,421,4165,1616,1.65795724465558
2016,"TEN",597,452,3720,2187,1.32079646017699
2016,"WAS",673,372,4948,1696,1.80913978494624
2017,"ARI",714,391,3979,1386,1.82608695652174
2017,"ATL",673,472,4574,2057,1.42584745762712
2017,"BAL",624,444,3235,1856,1.40540540540541
2017,"BUF",644,467,3213,2147,1.37901498929336
2017,"CAR",650,472,3668,2209,1.3771186440678
2017,"CHI",572,411,3085,1788,1.39172749391728
2017,"CIN",588,355,3386,1366,1.65633802816901
2017,"CLE",724,340,3537,1714,2.12941176470588
2017,"DAL",607,450,3326,2170,1.34888888888889
2017,"DEN",694,422,3668,1852,1.64454976303318
2017,"DET",682,352,4470,1221,1.9375
2017,"GB",696,343,3532,1724,2.02915451895044
2017,"HOU",660,429,3644,1842,1.53846153846154
2017,"IND",612,405,3226,1661,1.51111111111111
2017,"JAX",706,595,4310,2682,1.18655462184874
2017,"KC",685,389,4590,1940,1.76092544987147
2017,"LA",633,448,4282,2068,1.41294642857143
2017,"LAC",639,405,4551,1595,1.57777777777778
2017,"LV",635,364,3761,1554,1.74450549450549
2017,"MIA",673,356,3792,1388,1.89044943820225
2017,"MIN",719,520,4518,2122,1.38269230769231
2017,"NE",833,504,5771,2149,1.65277777777778
2017,"NO",664,475,5004,2191,1.39789473684211
2017,"NYG",690,388,3680,1549,1.77835051546392
2017,"NYJ",607,410,3501,1702,1.48048780487805
2017,"PHI",786,523,4939,2485,1.50286806883365
2017,"PIT",726,434,5011,1742,1.67281105990783
2017,"SEA",705,345,3979,1612,2.04347826086957
2017,"SF",690,396,4235,1662,1.74242424242424
2017,"TB",717,363,4607,1450,1.97520661157025
2017,"TEN",677,461,3863,2100,1.46854663774403
2017,"WAS",624,380,4093,1448,1.64210526315789
2018,"ARI",593,341,2884,1342,1.73900293255132
2018,"ATL",713,339,4949,1573,2.10324483775811
2018,"BAL",688,538,3902,2526,1.27881040892193
2018,"BUF",639,414,3052,1984,1.54347826086957
2018,"CAR",660,381,4071,2136,1.73228346456693
2018,"CHI",678,443,4050,2003,1.53047404063205
2018,"CIN",650,341,3569,1682,1.90615835777126
2018,"CLE",686,387,4261,1893,1.77260981912145
2018,"DAL",728,464,4377,2177,1.56896551724138
2018,"DEN",679,384,3930,1907,1.76822916666667
2018,"DET",672,396,3844,1660,1.6969696969697
2018,"GB",770,297,4629,1667,2.59259259259259
2018,"HOU",724,423,4400,2126,1.71158392434988
2018,"IND",808,424,5020,2005,1.90566037735849
2018,"JAX",668,367,3431,1723,1.82016348773842
2018,"KC",771,394,5699,2076,1.95685279187817
2018,"LA",774,512,5454,2643,1.51171875
2018,"LAC",683,435,4807,1981,1.57011494252874
2018,"LV",643,380,4057,1628,1.69210526315789
2018,"MIA",551,357,3309,1738,1.54341736694678
2018,"MIN",696,343,4298,1490,2.02915451895044
2018,"NE",762,582,5358,2522,1.30927835051546
2018,"NO",668,497,4724,2210,1.34406438631791
2018,"NYG",663,360,4405,1650,1.84166666666667
2018,"NYJ",600,389,3404,1619,1.54241645244216
2018,"PHI",768,423,4991,1661,1.81560283687943
2018,"PIT",772,328,5174,1445,2.35365853658537
2018,"SEA",565,536,3681,2626,1.05410447761194
2018,"SF",636,406,4247,1902,1.56650246305419
2018,"TB",771,336,5358,1523,2.29464285714286
2018,"TEN",548,429,3255,2023,1.27738927738928
2018,"WAS",630,380,3287,1774,1.65789473684211
2019,"ARI",671,364,3797,1990,1.84340659340659
2019,"ATL",805,344,5049,1361,2.34011627906977
2019,"BAL",601,572,3715,3472,1.0506993006993
2019,"BUF",679,452,3756,2226,1.50221238938053
2019,"CAR",741,367,4134,1819,2.01907356948229
2019,"CHI",685,375,3573,1458,1.82666666666667
2019,"CIN",712,371,3994,1517,1.91913746630728
2019,"CLE",650,381,3847,1901,1.70603674540682
2019,"DAL",679,431,4902,2153,1.5754060324826
2019,"DEN",607,394,3401,1662,1.54060913705584
2019,"DET",681,386,4187,1649,1.76424870466321
2019,"GB",761,414,4586,1966,1.83816425120773
2019,"HOU",767,433,4718,2244,1.77136258660508
2019,"IND",617,441,3314,2130,1.39909297052154
2019,"JAX",733,344,4023,1708,2.13081395348837
2019,"KC",835,397,5591,1928,2.10327455919395
2019,"LA",711,387,4669,1499,1.83720930232558
2019,"LAC",682,363,4648,1453,1.87878787878788
2019,"LV",586,426,4110,1893,1.37558685446009
2019,"MIA",759,309,4117,1152,2.45631067961165
2019,"MIN",610,519,4143,2290,1.17533718689788
2019,"NE",734,459,4362,1801,1.59912854030501
2019,"NO",694,402,4689,1835,1.72636815920398
2019,"NYG",725,337,4070,1685,2.1513353115727
2019,"NYJ",626,375,3443,1257,1.66933333333333
2019,"PHI",760,457,4240,2059,1.66301969365427
2019,"PIT",607,377,3214,1447,1.61007957559682
2019,"SEA",736,471,4712,2374,1.56263269639066
2019,"SF",633,580,4456,2917,1.09137931034483
2019,"TB",747,371,5127,1521,2.01347708894879
2019,"TEN",637,506,4360,2726,1.25889328063241
2019,"WAS",581,347,3205,1583,1.67435158501441
2020,"ARI",685,428,4102,2237,1.60046728971963
2020,"ATL",722,389,4620,1532,1.8560411311054
2020,"BAL",587,562,3320,3456,1.04448398576512
2020,"BUF",841,403,5603,1980,2.08684863523573
2020,"CAR",657,366,4129,1704,1.79508196721311
2020,"CHI",723,385,4124,1695,1.87792207792208
2020,"CIN",680,388,3793,1668,1.75257731958763
2020,"CLE",657,515,4168,2611,1.27572815533981
2020,"DAL",731,411,4511,1788,1.77858880778589
2020,"DEN",652,411,3673,1918,1.58637469586375
2020,"DET",681,354,4397,1499,1.92372881355932
2020,"GB",699,459,4941,2373,1.52287581699346
2020,"HOU",687,281,4843,1466,2.44483985765125
2020,"IND",656,486,4495,2159,1.34979423868313
2020,"JAX",715,318,3955,1519,2.24842767295597
2020,"KC",879,404,5921,2131,2.17574257425743
2020,"LA",721,499,4541,2278,1.44488977955912
2020,"LAC",723,437,4548,1784,1.65446224256293
2020,"LV",641,430,4383,1916,1.4906976744186
2020,"MIA",661,392,3937,1688,1.68622448979592
2020,"MIN",612,462,4265,2283,1.32467532467532
